prNumber,prTitle,repo
6349,Update EIP-5920: Reduce account creation gas,EIPs
6348,Update EIP-4844: clarify datahash return value,EIPs
6347,EIP-3540: Add @lightclient as author,EIPs
6346,EIP-5450: Extend motivation of AOT/JIT compilation,EIPs
6345,EIP-4844: Explicitly state sha256 is used,EIPs
6343,Update EIP-5298: Move to Review,EIPs
6342,Update EIP-5604: Move to Review,EIPs
6341,Update EIP-5437: Move to Review,EIPs
6340,Update EIP-5982: Move to Review,EIPs
6339,Update EIP-5453: Move to Review,EIPs
6338,Update EIP-2135: Move to Last Call,EIPs
6337,Update eip-4337.md,EIPs
6334,Update EIP-4974: Move to Review,EIPs
6333,Update EIP-6189: Add support for EIP-5920,EIPs
6332,Update EIP-5920: Gas cost update and burning via zero address,EIPs
6331,Update eip-6147.md,EIPs
6330,"Update EIP-5192: Change name to ""Lockable tokens""",EIPs
6329,Update EIP-4955: Move to Last Call,EIPs
6328,EIP-3540: Clarify nonce behavior for CREATE,EIPs
6327,Add EIP: Elastic Signature,EIPs
6326,Update EIP-5269: Move to Review,EIPs
6325,EIP-4895: CL-EL withdrawals harmonization: using units of Gwei,EIPs
6324,Update EIP-3326: Move to draft,EIPs
6323,Update EIP-3085: Move to draft,EIPs
6322,Update EIP-3091: Move to draft,EIPs
6321,Update design of eip-5564,EIPs
6320,Update EIP-5269,EIPs
6319,Update EIP-5269,EIPs
6318,Add asset file for EIP-5269,EIPs
6317,Add asset file for EIP-5269,EIPs
6316,Update EIP-5269,EIPs
6315,Add EIP-6315: EIP-2771 Account Abstraction,EIPs
6314,Update EIP-1559: Remove empty test cases,EIPs
6313,Update EIP-6190: Rename to verkle-compatible SELFDESTRUCT,EIPs
6312,Update EIP-5629 about DRAFT identifier,EIPs
6311,Update EIP-6150: Move to Last Call,EIPs
6309,Update EIP-1898: Move to Review,EIPs
6308,Update EIP-6150: Optimize and add more implementation,EIPs
6307,Update EIP-5269 EIP/ERC Detection and Discovery,EIPs
6306,Update EIP-1: Permit links to Execution Specs,EIPs
6304,Update EIP-4736: Move to Draft,EIPs
6303,Update EIP-5570: Move to review,EIPs
6302,Make signature of signature optional,EIPs
6301,Fixed minor typos,EIPs
6300,Update EIP-5267: Move to Last Call,EIPs
6299,EIP-lockable-tokens,EIPs
6298,more minor changes to 5630,EIPs
6297,EIP-5267: Clarify use of extensions and add event,EIPs
6296,Update EIP-6188: Fix minor typo,EIPs
6295,Update EIP-5920: Move to Review,EIPs
6292,Update EIP-5920: Update abstract,EIPs
6291,Update EIP-5568: Micah's review,EIPs
6290,Update eip-2771.md: isTrustedForwarder gas limit,EIPs
6289,Update EIP-5920: Prepare for Review,EIPs
6288,Update EIP-4834: Remove old links,EIPs
6287,Update EIP-4834: Move to Last Call,EIPs
6286,Update EIP-5507: Move to review,EIPs
6285,Update EIP-4834: Add changes to increase flexibility,EIPs
6284,CI: Make @eth-bot run on every PR action,EIPs
6283,Update EIP-5507: Final changes before last call,EIPs
6282,Update EIP-5507: Fix file names,EIPs
6281,Update EIP-2771: Fix typo,EIPs
6280,CI: Naive automatic assignment of waiting labels,EIPs
6279,CI: Rename auto label bot,EIPs
6278,Update README: Fix formatting,EIPs
6277,CI: Use environment files,EIPs
6276,Update CI: Fix automatic messaging and labeling,EIPs
6275,Update CI: Fix EIP bot sometimes not triggering,EIPs
6274,Update EIP-2771: Fix markdownlint issues,EIPs
6272,update EIP3220 to give 8 bytes for Native Chain ID,EIPs
6271,Clarify document ownership,EIPs
6270,Improvements for signature generation,EIPs
6269,Add EIP-6269: Full EVM Equivalence,EIPs
6268,Add EIP-6268: Untransferability Indicator for EIP-1155,EIPs
6267,Added coauthor to EIP-5630 per discussion,EIPs
6265,Update EIP-1459: unstagnate and add security consideration,EIPs
6264,Update EIP-2771: Move to Last Call,EIPs
6263,very small follow-up edits to EIP-5630,EIPs
6262,another update to EIP-5630: only do ECDH,EIPs
6261,EIP-4750: Change checks to asserts,EIPs
6260,Add EIP-6260: Buyable NFT tokens on-Chain and Royalties,EIPs
6259,Update EIP-6120: more contents and token-transfer sub-action,EIPs
6257,minor typos on EIP 5573,EIPs
6256,Website: Change content width to 100%,EIPs
6255,CI: Only run label bot on PRs to master,EIPs
6254,Attempt to fix the page width issue,EIPs
6253,"3540,4750,5450: Rename data stack to operand stack",EIPs
6252,update unstaked entity rules,EIPs
6251,3540: restrict number of code sections to 1024,EIPs
6250,"EIP-4337 AA-99 account returns validAfter,validUntil",EIPs
6249,EIP-3860: Change the failure to OOG,EIPs
6248,3540: type size range should start at 0,EIPs
6246,EIP-4337 - AA-100: Change bundling rules to prevent any cross-op access,EIPs
6244,Update from last call to final,EIPs
6243,Revert #6009 (Bad Bot),EIPs
6241,change blob tx_hash to use serialize instead of hash_tree_root,EIPs
6240,Update EIP-5727: rename soul to owner; improve SlotEnumerable methods,EIPs
6239,Add EIP: Semantic Soulbound Tokens,EIPs
6238,clarify signed blob transaction hashing,EIPs
6237,Test cases: specify when contract creation fails in Valid initcode,EIPs
6236,EIP-5630: small additional fixes.,EIPs
6235,add material to EIP-5630,EIPs
6234,Update EIP-4337: fix miscellaneous typos,EIPs
6233,Update EIP-4337 to latest working version,EIPs
6232,Explained typesize in the v.1 header,EIPs
6231,Center layout,EIPs
6230,Update eip-3561.md,EIPs
6229,Add EIP: Tokenized Vaults with Lock-in Period,EIPs
6228,Add EIP-6228: Extreme EIP-20 (meta-transaction token MTT),EIPs
6226,Revert #6009 and satisfy updated lint,EIPs
6225,EIP-5773: Fix formatting of ordered list in Rationale,EIPs
6224,Add EIP-6224: Contracts Dependencies Registry,EIPs
6223,Update EIP-6059: Fix multi-line list elements,EIPs
6222,Updated EIP 3540's data section to new format,EIPs
6221,Update EIP-6059: Move to Review,EIPs
6220,Add EIP-6220: Propose Composable NFTs utilizing Equippable Parts,EIPs
6219,Update EIP-6150: Move to Review,EIPs
6218,Update EIP-5507: Add interface IDs and use consistent formatting,EIPs
6217,Update EIP-5380: Move to Review,EIPs
6216,"Try that again, but with a merge instead of a squash",EIPs
6215,Merge master into eip-5380-review,EIPs
6214,Update EIP-5380: Second Revision,EIPs
6213,Update README: Update GitHub docs link,EIPs
6212,Update EIP-4494: EIP712 signed,EIPs
6211,Ignore JetBrains project files,EIPs
6210,Clarify that initcode which fails validation still pays 3860 `initcode_cost`,EIPs
6209,Remove `pc` instruction from eof,EIPs
6208,Update EIP-5115: Minor correction on interface,EIPs
6207,Update EIP-5115: Updates to interface based on community feedback,EIPs
6206,Add EIP-6206: EOF - JUMPF instruction,EIPs
6205,"4750,5450: Specify stack overflow check only in CALLF",EIPs
6202,Fixes bug when replacing asset on sample implementation of 5773,EIPs
6192,Update EIP-6049: fix (small) typo,EIPs
6191,Update EIP-5507: Fix typo (wei is a reserved name),EIPs
6190,Add EIP-6190: Functional SELFDESTRUCT,EIPs
6189,Add EIP-6189: Alias Contracts,EIPs
6188,Add EIP-6188: Nonce Cap,EIPs
6187,Update EIP-5380: Move to Review,EIPs
6186,Update EIP-5507: Move to review,EIPs
6185,Update EIP-5615: Move to Last Call,EIPs
6184,Update EIP-5380: First update,EIPs
6183,Merge master into eip-5219-review,EIPs
6182,Update EIP-5219: Fix small typo,EIPs
6181,Update EIP-5507: Add Rationale stub,EIPs
6180,Update EIP-5219: Move to review,EIPs
6179,"Update EIP-5289: Add EIP-5568 signals, other extensibility, and security considerations",EIPs
6178,Update EIP-1559: Equation to help better understanding,EIPs
6177,Update EIP-5568: Move to review,EIPs
6176,Update EIP-5615: Change totalSupply behavior when exists is false,EIPs
6174,Update EIP-6049: Move to final,EIPs
6173,EIP-6059: Add a note about inter-contract compatibility of EIP-6059,EIPs
6172,Add EIP-6170: Cross-Chain Messaging Interface,EIPs
6171,Cross-Chain Messaging Standard,EIPs
6170,feat: creating the draft for cross-chain messaging,EIPs
6169,Update EIP-4337: fix typo desribed -> described,EIPs
6168,Remove terminating instructions validation,EIPs
6167,Website: Render csl-json blocks as citations,EIPs
6166,Update eip-5252.md,EIPs
6165,Update EIP-3690: Fix typo,EIPs
6164,Update EIP-1444: Fix typo,EIPs
6163,Update EIP-3267: Fixes typo,EIPs
6161,Update EIP-1: Use updated list of EL clients,EIPs
6160,Fixes typos: 'contact' -> 'contract',EIPs
6157,Website: add an all.xml rss feed,EIPs
6156,"3540,4570,5450: update EOF container format",EIPs
6155,Update EIP-6046: Propose alternative deactivation,EIPs
6154,EIP-6059: Replace mermaid with images,EIPs
6153,Update EIP-5023: Move to last call,EIPs
6152,Added security considerations and backwards compatibility texts for EIP-5023,EIPs
6151,Update EIP-5606: Move to Last Call,EIPs
6150,Add EIP-6150: Hierarchical NFTs,EIPs
6149,Update EIP-6093: Fix typos,EIPs
6148,Update EIP-5192: Fix typo,EIPs
6147,"Add EIP-6147: Guard of NFT/SBT, an Extension of EIP-721",EIPs
6146,Update EIP-5164: Add chainId and naming,EIPs
6145,Add EIP: Hashtag NFT Collective Royalty Treasury,EIPs
6144,EIP Proposal - #Hashtag NFT Collective Royalty Treasury,EIPs
6143,Update EIP-712: Fix typo,EIPs
6142,Update EIP-5453,EIPs
6141,Update EIP-5453,EIPs
6140,Update ERC-5453,EIPs
6132,Update eip-1153.md,EIPs
6130,Grab latest eipw... again,EIPs
6127,"Revert ""Pickup latest eipw version (#6091)""",EIPs
6126,EIP-4200: Remove invalid comment about gas costs,EIPs
6125,EIP-4750: Fix formatting,EIPs
6124,Update EIP-4519: Move to Final,EIPs
6123,Add EIP-6123: Smart Derivative Contract,EIPs
6122,Add EIP-6122: Forkid checks based on timestamps,EIPs
6121,Update EIP-6049: Fix typo,EIPs
6120,Add EIP-6120: Universal Token Router,EIPs
6118,Update eip-1822.md,EIPs
6114,Update EIP-4944: Move from Stagnant to Draft,EIPs
6111,EIP-4200: Do not suggest PC is deprecated,EIPs
6110,Add EIP-6110: Supply validator deposits on chain,EIPs
6109,Update EIP-5247 add assets,EIPs
6107,Update ci.yml for ubuntu version fixing HTMLProofer,EIPs
6106,Update EIP-5247,EIPs
6105,Add EIP-6105: Marketplace extension for EIP-721,EIPs
6104,Update EIP-5375: Fix typo in JSON,EIPs
6103,Update EIP-725: Improvements,EIPs
6102,EIP-663: Fix some typos,EIPs
6101,Update EIP-5450: Add JUMPF simplification,EIPs
6100,Update EIP-4200: Add short new instruction summary,EIPs
6098,incorporate thread feedback to EIP-1153,EIPs
6097,Update EIP-5646: Move to Last Call,EIPs
6096,Update EIP-4200: Add Test Cases for RJUMPV,EIPs
6095,EIP-5646: Require only mutable state properties to be included in the state fingerprint,EIPs
6094,@wolfrain72,EIPs
6093,Add EIP-6093: Custom errors for commonly-used tokens,EIPs
6092,Allows for multiple sales taxes,EIPs
6091,Pickup latest eipw version,EIPs
6090,EIP-4895: fix typo from #6089 to use correct type for withdrawal `amount`,EIPs
6089,EIP-4895: clarify types and allowed values for withdrawal data,EIPs
6087,EIP-663: Mark for review,EIPs
6086,Clarifications to EIP-663,EIPs
6085,Update EIP-6049: Move to Last Call,EIPs
6082,EIP4844: Be explicit about precompile accepting canonical inputs,EIPs
6080,Update EIP-4750: Clarify RETF not cleaning the stack automatically,EIPs
6079,Mark EIP-4750 and EIP-5450 as Review,EIPs
6078,Update-4200: disallow empty jump table,EIPs
6077,Add EIP-6077: Invalidation for Signature-Based Operations,EIPs
6076,Update EIP-4519: Move to Final,EIPs
6074,Update EIP-6049: Move to review,EIPs
6073,Introduce the getRights() interface;,EIPs
6072,Upgrade EIP-5773 to Review status,EIPs
6067,Update EIP-3540: Clarify that code size limit applies to container,EIPs
6066,Add EIP-6066: Signature Validation Method for NFTs,EIPs
6065,Add EIP-6065: EIP Real Estate Standard Token,EIPs
6064,Update eip-6049.md,EIPs
6063,Update EIP-4750: Clarify stack overflow rules,EIPs
6062,Update EIP-5489: Move to final,EIPs
6061,EIP-4750: Add rationale for 1024 code sections limit,EIPs
6060,Update EIP-1: Make external links wording more specific,EIPs
6059,Add EIP-6059: Parent-Governed Nestable Non-Fungible Tokens standard,EIPs
6057,Update EIP-1153: Move to last call,EIPs
6056,EIP-4200: Add RJUMPV,EIPs
6055,Clarifications to EIP-663,EIPs
6054,Small updates to EIP-663,EIPs
6053,"Update EIP-3670: Drop ""terminating"" instruction restriction",EIPs
6052,Update EIP-3540: Restrict EOF version in create,EIPs
6051,Add EIP-6051: Private Key Encapsulation,EIPs
6050,Update EIP-4527: Move to review,EIPs
6049,Add EIP-6049: Deprecate SELFDESTRUCT,EIPs
6047,Add EIP-6047: Extend ERC-721 to Support balance counting via Transfer event,EIPs
6046,Add EIP-6046: Replace SELFDESTRUCT with DEACTIVATE,EIPs
6045,Update EIP-1: Make test cases section optional for Core EIPs,EIPs
6044,Update EIP-4750: Disallow dynamic jumps,EIPs
6043,EIP-5007: Change uint64 to int64,EIPs
6042,Update EIP-663: Bring back to draft,EIPs
6041,Update 4758: Move to Review,EIPs
6040,Update EIP-3860: Clarify nonce rules,EIPs
6038,Update EIP-20: Renovate,EIPs
6036,Add EIP-6036: Subscribeable NFT Extension,EIPs
6035,Update EIP-4844: small clarification,EIPs
6034,Update EIP-1: add devp2p repo as accepted external resource,EIPs
6033,Update EIP-5757: Move to final,EIPs
6032,EIP-4938: change EIP to Review status (eth/67),EIPs
6031,Update EIP-5793: update EIP to Review status (eth/68),EIPs
6030,Update EIP-4844: update to Review status,EIPs
6029,Update EIP-4895: fix small typo,EIPs
6028,Website: Hide Stagnant and Withdrawn EIPs,EIPs
6026,Update EIP-4844: Clarify Precompile Return Data Endianness,EIPs
6025,Configuration: Fix MathJax config,EIPs
6024,EIP-4987: asset links,EIPs
6023,Update EIP-4750: Add JUMPF instruction,EIPs
6022,EIP-3670: Add EOF1 forward compatibility section,EIPs
6020,Update EIP-4844: Clarify Fork Block Behavior,EIPs
6019,EIP-4987 hardening/cleanup,EIPs
6018,Update EIP-5749: Move to last call,EIPs
6017,Website: Human-friendly preamble,EIPs
6016,EIP-5987: example diff with 3009,EIPs
6015,Update EIP-2481: Move to final,EIPs
6014,EIP-4938: Move to back to draft,EIPs
6013,Update EIP-4527: Move to draft,EIPs
6012,Update EIP-721: Update link,EIPs
6011,EIP-4444 stagnant (2022-Nov-20th@00.20.36),EIPs
6010,EIP-3855 stagnant (2022-Nov-20th@00.20.25),EIPs
6009,EIP-3651 stagnant (2022-Nov-20th@00.20.15),EIPs
6008,EIP-3074 stagnant (2022-Nov-20th@00.20.4),EIPs
6007,"Add ""EOF - "" prefix to 3540, 4200",EIPs
6006,EIP-4844: Add adietrichs as co-author,EIPs
6005,Update EIP-1: Add `source` category,EIPs
6002,EIP4844: Update crypto API (simplify precompile / sync with consensus-specs),EIPs
6001,"EIP-1153: clean up use cases, add security considerations",EIPs
6000,Add EIP-5994: Token Balance Update Hooks (Pods),EIPs
5999,Add EIP-6000,EIPs
5998,Add EIP-6000,EIPs
5997,Add EIP-6000,EIPs
5996,Add EIP-6000,EIPs
5995,Update EIP-5489: Move to Last Call,EIPs
5993,EIP-5450: Revision 2,EIPs
5992,Move EIP-5750 to Final,EIPs
5991,"Update EIP-5023: Move to Review, minor corrections to interface",EIPs
5988,Add EIP-5988: Add Poseidon hash function precompile,EIPs
5987,Add EIP-5987: Permissionless Transfer With Authorization,EIPs
5986,Update EIP-1474: Move status to draft,EIPs
5985,"CI: Grab latest `eipw`, which won't block stagnant bot",EIPs
5984,Remove redundant ValidationException definition from EOF EIPs,EIPs
5983,Pull changes into PR,EIPs
5982,Add EIP-5982: Role-based Access Control,EIPs
5981,Update EIP-5496: Change status to Last Call,EIPs
5980,Update EIP-1898: Move to draft,EIPs
5979,EIP-3651: Last Call,EIPs
5978,Update EIP-5202: Move to review,EIPs
5976,Add EIP-5976: Handbook for EIP Authors,EIPs
5974,EIP-998 stagnant (2022-Nov-15th@15.24.37),EIPs
5973,EIP-725 stagnant (2022-Nov-15th@15.24.27),EIPs
5972,EIP-663 stagnant (2022-Nov-15th@15.24.16),EIPs
5971,EIP-634 stagnant (2022-Nov-15th@15.24.5),EIPs
5970,EIP-5065 stagnant (2022-Nov-15th@15.23.54),EIPs
5969,EIP-5022 stagnant (2022-Nov-15th@15.23.44),EIPs
5968,EIP-4944 stagnant (2022-Nov-15th@15.23.33),EIPs
5967,EIP-4938 stagnant (2022-Nov-15th@15.23.22),EIPs
5966,EIP-4863 stagnant (2022-Nov-15th@15.23.11),EIPs
5965,EIP-4803 stagnant (2022-Nov-15th@15.23.1),EIPs
5964,EIP-4799 stagnant (2022-Nov-15th@15.22.50),EIPs
5963,EIP-4762 stagnant (2022-Nov-15th@15.22.39),EIPs
5962,EIP-4760 stagnant (2022-Nov-15th@15.22.29),EIPs
5961,EIP-4758 stagnant (2022-Nov-15th@15.22.18),EIPs
5960,EIP-4747 stagnant (2022-Nov-15th@15.22.7),EIPs
5959,EIP-4736 stagnant (2022-Nov-15th@15.21.56),EIPs
5958,EIP-4573 stagnant (2022-Nov-15th@15.21.45),EIPs
5957,EIP-4546 stagnant (2022-Nov-15th@15.21.35),EIPs
5956,EIP-4527 stagnant (2022-Nov-15th@15.21.24),EIPs
5955,EIP-4524 stagnant (2022-Nov-15th@15.21.13),EIPs
5954,EIP-4521 stagnant (2022-Nov-15th@15.21.2),EIPs
5953,EIP-4520 stagnant (2022-Nov-15th@15.20.52),EIPs
5952,EIP-4488 stagnant (2022-Nov-15th@15.20.41),EIPs
5951,EIP-4444 stagnant (2022-Nov-15th@15.20.30),EIPs
5950,EIP-4430 stagnant (2022-Nov-15th@15.20.20),EIPs
5949,EIP-4396 stagnant (2022-Nov-15th@15.20.9),EIPs
5948,EIP-3978 stagnant (2022-Nov-15th@15.19.58),EIPs
5947,EIP-3855 stagnant (2022-Nov-15th@15.19.48),EIPs
5946,EIP-3772 stagnant (2022-Nov-15th@15.19.37),EIPs
5945,EIP-3754 stagnant (2022-Nov-15th@15.19.27),EIPs
5944,EIP-3722 stagnant (2022-Nov-15th@15.19.16),EIPs
5943,EIP-3651 stagnant (2022-Nov-15th@15.19.5),EIPs
5942,EIP-3569 stagnant (2022-Nov-15th@15.18.54),EIPs
5941,EIP-3224 stagnant (2022-Nov-15th@15.18.44),EIPs
5940,EIP-3074 stagnant (2022-Nov-15th@15.18.32),EIPs
5939,EIP-2980 stagnant (2022-Nov-15th@15.18.22),EIPs
5938,EIP-2569 stagnant (2022-Nov-15th@15.18.11),EIPs
5937,EIP-2544 stagnant (2022-Nov-15th@15.18.0),EIPs
5936,EIP-2334 stagnant (2022-Nov-15th@15.17.49),EIPs
5935,EIP-1459 stagnant (2022-Nov-15th@15.17.38),EIPs
5934,Update EIP-5298: Move to Review,EIPs
5933,Update EIP-2535: fix typos (unnecessary/incorrect words),EIPs
5932,Fixed typo: removed unnecessary and incorrect words,EIPs
5931,EIP-5072 edits,EIPs
5930,Update EIP-4844: Disable Blob Transaction Broadcast,EIPs
5929,Update eipw to allow links to CL,EIPs
5928,Update EIP-4750: redefine code section header to be array of code section sizes,EIPs
5927,Update README: Add friendlier introduction,EIPs
5926,Update README: Update automatic check descriptions,EIPs
5925,Update README: Clarify incomplete draft behaviour,EIPs
5924,Update EIP-5604,EIPs
5923,5000: Fix complaints of the markdown linter,EIPs
5922,Update EIP-5604,EIPs
5921,Update EIP-4750: change CALLF/RETF opcodes to not conflict with PUSH0,EIPs
5920,Add EIP-5920: PAY opcode,EIPs
5919,Update EIP-5732: Move to Final,EIPs
5918,Update EIP-5000: Fix external link,EIPs
5917,Update EIP-5216 with address zero control in _approve function like EIP-20 ,EIPs
5915,Update EIP-5679: Fix ERC165 identifiers ,EIPs
5914,Update EIP-5679: Fix ERC165 identifiers,EIPs
5913,Update EIP-5732: Fix typos,EIPs
5912,Update EIP-5749: Move to Review,EIPs
5911,fix nit on the language of eip-1153,EIPs
5910,Update EIP-5732 Clean up,EIPs
5909,Update EIP-5732: include @fulldecent's change,EIPs
5908,Update EIP-4519: Move to last call,EIPs
5907,EIP-3540: Clarify contract creation rules,EIPs
5906,EIP-4844: declare withdrawals in 4895 as a dependency,EIPs
5905,Update EIP-5507: Add EIP-20 support,EIPs
5904,Configuration: Fix Markdownlint configuration,EIPs
5903,Update EIP-721: delete broken openzeppelin links,EIPs
5902,Add EIP-5902: Smart Contract Event Hooks,EIPs
5901,Update EIP-5732 Clean up,EIPs
5900,Update EIP-5528: Move to Final,EIPs
5899,Update EIP-5679: Move to Final,EIPs
5898,Fix data-only contract example,EIPs
5897,Updated EIP-5375: Move to Final,EIPs
5896,Add EIP-5896: Rejectable Non-Fungible Token,EIPs
5895,CI: Warn on extra sections,EIPs
5894,EIP-3670: Reject CALLCODE and SELFDESTRUCT,EIPs
5893,EIP-3670: Improve text style,EIPs
5890,Address some copy editing issues,EIPs
5889,Update EIP-4519: Make a few wording changes,EIPs
5888,eip-4750: note the gas cost of callf and retf,EIPs
5887,Update EIP-721: Use latest version of solidity and remove caveats,EIPs
5885,Update EIP-5615: Add short note about the function naming,EIPs
5884,EIP-4844.md: Fixed punctuation inconsistency,EIPs
5883,Add EIP-5883: Token Transfer by Social Recovery,EIPs
5882,EIP - Social Recovery,EIPs
5881,Update EIP-5484: Move to Final,EIPs
5880,EIP-4931 stagnant (2022-Nov-6th@00.20.22),EIPs
5879,Update EIP-5750,EIPs
5878,EIP-3540: Clarify contract creation failure,EIPs
5877,Include Ganache private chains (5777) in EIP-155,EIPs
5876,"EIP-3540: Reformat, fix typos",EIPs
5875,Add EIP-5875: Instruction to Get Transaction Index of Block,EIPs
5874,Update EIP-1: Add first two external origins,EIPs
5873,EIP-5732,EIPs
5872,Update EIP-1753: Move to draft,EIPs
5870,EIP-5757: Move to last call,EIPs
5869,EIP-5757: apply changes from EIPIP meeting,EIPs
5867,Fix typo,EIPs
5866,"Update EIP-5750: Change the specification to suit more use cases, fix grammar and some formatting",EIPs
5865,Add EIP-5865: NFT Avatar in Multi-Metaverse,EIPs
5864,[EIP-4844] Return Modulus From Precompile,EIPs
5863,[EIP-4844] Reduce Throughput,EIPs
5862,[EIP-4844] Set A Minimum Data Gasprice,EIPs
5861,Update EIP-5750: Move to Last Call,EIPs
5860,[EIP-4844] Fix Linting,EIPs
5858,Update EIP-5732 to improve backward compatibility and address collaborator suggestions,EIPs
5857,Update EIP-5606: Moving to Review stage,EIPs
5855,Update EIP-4519: Move to Last Call,EIPs
5854,CI: Add EIP-5757 to unchecked list,EIPs
5852,New token logo upload erc20 ,EIPs
5851,Add EIP-5851: On-Chain Verifiable Credentials,EIPs
5850,Add EIP-5850: Complex Numbers stored in Bytes32 types,EIPs
5849,"Added EOF prefix to 4530 and 4200, for ease of searching for EOF-related EIPs.",EIPs
5848,Update EIP-5606: Remove unnecessary variables from a struct a function,EIPs
5847,uint256 recoveryRate,EIPs
5846,nit,EIPs
5845,Update EIP-5679: Update Last Call Deadline,EIPs
5843,Add EIP-5843: EVM Modular Arithmetic Extensions,EIPs
5842,Update EIP-5791: Change payload to be type bytes,EIPs
5841,Update EIP-5528: Move to Last Call,EIPs
5840,CI: Fix changed files detection,EIPs
5839,Update EIP-5216: Move to Last Call,EIPs
5838,lint,EIPs
5837,Update EIP-5585: Introduce a “rights” attribute in UserRecord struct to identify diffe…,EIPs
5836,CI: Grab latest eipw-action,EIPs
5835,Update EIP-4895: `validator_index` and more info around `index`,EIPs
5834,"Update EIP-3525: verbiage improvements, typos",EIPs
5833,EIP-5006: typo fix ,EIPs
5832,EIP-5528 update MD contents in review state,EIPs
5831,5528 update in review,EIPs
5830,test,EIPs
5829,Update EIP-4955: Move to review,EIPs
5828,Feat: move 4899 to review,EIPs
5827,Add EIP-5827: Auto-renewable allowance extension,EIPs
5823,Update EIP-2315: Yellow Paper link,EIPs
5822,Update EIP-4895: update status to review,EIPs
5821,Veega labs official patch 7,EIPs
5819,CI: Add concurrency,EIPs
5818,CI: Fix Markdown Linter & CodeSpell,EIPs
5817,CI: Re-enable CodeSpell,EIPs
5816,Website: Add Ethereum Wallets Discord,EIPs
5815,Catch up to Yellow Paper,EIPs
5814,Update EIP-2315: Catch up to latest Yellow Paper,EIPs
5813,Update EIP-5375: Clarify address casing and move to Last Call,EIPs
5811,Fix interface identifier to 0x8d7bac72,EIPs
5809,Update EIP-5484: Move to Last Call,EIPs
5808,Update EIP-5164: Move to review,EIPs
5807,Update EIP-3770: Status to Review,EIPs
5806,Add EIP-5806: Account abstraction through delegate transaction,EIPs
5805,Add EIP-5805: Voting with delegation,EIPs
5804,Update EIP-191: Improve Comprehensibility,EIPs
5802,Make EIP-2535 Final,EIPs
5801,EIP-2535: small text change,EIPs
5800,EIP-2535: small change,EIPs
5799,EIP-2535: small change,EIPs
5798,EIP-2535: Additions and improvements,EIPs
5797,CI: Pin hashes,EIPs
5796,Bump nokogiri from 1.13.7 to 1.13.9,EIPs
5795,Update EIP-2294 for content,EIPs
5794,Add EIP-5794: eth/69: add withdrawals to block,EIPs
5793,Add EIP-5793: eth/68: Add transaction type to tx announcement,EIPs
5792,Add EIP-5792: Wallet Abstract Transaction Send API,EIPs
5791,Add EIP-5791: Physical Backed Tokens,EIPs
5790,Update EIP-5528: Move to final,EIPs
5789,Update EIP-3475: Changing comments,EIPs
5788,Update EIP-1155: Change title to 'Semi Fungible Token Standard',EIPs
5787,Add EIP-5787: Digital Identity standard proposal,EIPs
5785,Update EIP-5750: Move to Review,EIPs
5784,Update EIP-4519: Fix typos in figures 4 and 5,EIPs
5783,Update EIP-5187: update identifier for this interface,EIPs
5782,Update EIP-2612: Move to Final,EIPs
5781,EIP4519: Change some images,EIPs
5780,Eip4519 fix some spelling mistakes,EIPs
5779,Update EIP-4834: Move back to review,EIPs
5778,Update EIP-5615: Move to Review,EIPs
5777,ERC-4519: Change SmartNFT to EIP-4519 NFT ,EIPs
5776,Final typo in EIP-5643,EIPs
5775,Fix typo in EIP-5643,EIPs
5774,Update EIP-5643 interface,EIPs
5773,Add EIP-5773: Multi-Resource Token standard,EIPs
5772,Update EIP-2537: fix some typos,EIPs
5771,"Revert ""Add EIP-5187: Extend EIP-1155 with rentable usage rights""",EIPs
5770,Update eip-5187.md,EIPs
5768,Update EIP-5496: Change status to Last Call,EIPs
5767,Update EIP-5173 (#5764),EIPs
5766,CI: Add ???,EIPs
5765,CI: Add .circleci/config.yml,EIPs
5764,Update EIP-5173,EIPs
5763,Update EIP-2294: Move to Review,EIPs
5761,Update EIP-2135: Move to Last Call,EIPs
5760,EIP-2135 update,EIPs
5759,Update EIP-5679: Move to Last Call,EIPs
5758,Update EIP-5732: Move to Last Call,EIPs
5757,Add EIP-5757: Propose process for allowing external links,EIPs
5755,Add `upgraded` field to EIP-template.,EIPs
5753,Add EIP-5753: Lockable Extension for EIP-721,EIPs
5752,Add co-authors for EIP-5604,EIPs
5751,Update EIP-2135,EIPs
5750,Add EIP-5750: Method with Extra Data,EIPs
5749,Add EIP-5749: The 'window.evmproviders' object,EIPs
5748,Add EIP-5748: Approval Expiration for EIP-20 Tokens,EIPs
5746,Update EIP-5453 Endorsement,EIPs
5745,-,EIPs
5744,Add EIP-5744: Latent Fungible Tokens,EIPs
5743,Remove @lightclient as ERC editor,EIPs
5742,Update EIP-3475: Minor changes in description,EIPs
5741,Extip 1  schema,EIPs
5740,Update EIP-5679: Add deployments of Ref Impl,EIPs
5739,Update EIP-5679 Add Ref Impl,EIPs
5738,update erc4337 to latest working version,EIPs
5737,Update README: Clarify which standards are useful submissions,EIPs
5736,Update EIP-5489: Move to review,EIPs
5735,Add EIP: Oauth2.0 Authentication via Ethereum,EIPs
5734,Update EIP-5643: Move to Review,EIPs
5732,Add EIP-5732: Commit Interface,EIPs
5731,Add EIP-5731: Latent Fungible Tokens,EIPs
5730,EIP-2535: Made clear facets do not have to be reusable,EIPs
