prNumber,prTitle,repo
8687,Update EIP-7702: move the lighter check up,EIPs
8686,Update EIP-7702: note tx is invalid if nonce is not formatted correctly,EIPs
8684,Add EIP: EVM Transaction Bundles,EIPs
8681,Rename README.md to README,EIPs
8680,Add EIP: Add eth_signIntendedValidatorData JSON-RPC method,EIPs
8679,Update EIP-7702: Reorder authorization fields for authority recovery,EIPs
8678,Create devcontainer.json,EIPs
8677,Update EIP-7702: add delegation designation,EIPs
8675,Update EIP-7698: Clarify relation to 3541,EIPs
8674,Update EIP-7716: fix typos,EIPs
8673,Update EIP-3712: Multiple Fungible-Tokens,EIPs
8672,Update EIP-7623: Move to Review,EIPs
8671,Update EIP-7594: Move to Review,EIPs
8670,Update EIP-3540: align with recent clarifications and updates,EIPs
8669,Update EIP-7636: Move to Last Call,EIPs
8667,Create SECURITY.md,EIPs
8665,Update EIP-7495: Remove redundant `is_active_field` helper,EIPs
8664,Update EIP-2718: Update eip-2718.md,EIPs
8663,Update EIP-2930: Update eip-2930.md,EIPs
8662,Add EIP: Network Upgrade Inclusion Stages,EIPs
8661,Update EIP-7547: Move to Review,EIPs
8660,Update EIP-7698: Move to Review,EIPs
8659,Update EIP-7069: Move to Review,EIPs
8658,Update EIP-7692: Move to Review,EIPs
8657,Update EIP-7702: Move to Review,EIPs
8656,Update EIP-7685: Move to Review,EIPs
8655,Update EIP-7251: Move to Review,EIPs
8654,Update EIP-7002: Move to Review,EIPs
8653,Update EIP-6110: Move to Review,EIPs
8652,Update EIP-2935: Move to Review,EIPs
8651,Update EIP-7600: Move to Review,EIPs
8650,Update EIP-6493: Cleanups for latest `StableContainer` specs,EIPs
8649,Update EIP-7600: Add PeerDAS,EIPs
8648,Update EIP-7591: fix eip 7591 typo,EIPs
8647,Update EIP-7251: Move to Review,EIPs
8646,Update EIP-7549: Move to Review,EIPs
8645,Add some additional tests,EIPs
8642,Update EIP-2935: Further cleanup of the text,EIPs
8641,Update EIP-2935: Cleanup references and add some blockhash opcode clarifications,EIPs
8640,Update EIP-7549: Update eip-7549 with latest version,EIPs
8638,EIP-7549 stagnant (2024-Jun-9th@00.19.54),EIPs
8635,Update EIP-2537: Fix some nits,EIPs
8634,Update EIP-1: Allow links to portal-network-specs,EIPs
8633,Update EIP-7643: Fix MAX_HISTORICAL_EPOCHS for provided root,EIPs
8632,Update EIP-7600: Update EIP-7600 required header,EIPs
8631,Update EIP-7702: Add system contract for revocations,EIPs
8627,Update EIP-7600: Add Included EIPs,EIPs
8625,Update EIP-7251: Add EL triggered consolidations,EIPs
8624,Update EIP-5792: add CAIP-25 normref to eip-5792,EIPs
8623,Sintayew4/EIPsRename .github/workflows/auto-review-bot.yml to Sintayew4/EIPs,EIPs
8621,"Update EIP-3540: Clarify EXTDELEGATECALL to ""legacy""",EIPs
8619,Update EIP-7495: Cleanup reference implementation and tests,EIPs
8617,Update EIP-7069: Padding oob behavior of RETURNDATA*,EIPs
8615,Update eip-template.md,EIPs
8614,Update EIP-7688: Move to Review,EIPs
8613,Update README: Update README.md,EIPs
8612,Update EIP-5792: Move to Last Call,EIPs
8608,Create embedded-semi-fungible-token.md,EIPs
8607,Update EIP-2982: fix table displaying error,EIPs
8606,Update EIP-1057: Fix typos in 37 files.,EIPs
8605,Update EIP-7688: Document types considered immutable,EIPs
8604,Update EIP-7636: Add additional security message about data reliabilty.,EIPs
8603,Update EIP-6493: Define engine API for SSZ `Transaction`,EIPs
8599,Create embedded-semi-fungible-token.md,EIPs
8598,Add EIP: Anti-correlation attestation penalties,EIPs
8596,Update EIP-2935: Update EVM bytecode to add the system set update op,EIPs
8595,Update EIP-4200: Fix validation test cases,EIPs
8594,Add EIP: Box type for EIP-712 messages,EIPs
8592,Update EIP-7685: Clarify block validity,EIPs
8591,"Update EIP-7600: Add 7702, remove 3074",EIPs
8590,Update EIP-4788: specify the timestamp for 4788,EIPs
8588,Update EIP-5450: fix typo,EIPs
8586,Update EIP-7620: Initcode mode validation,EIPs
8585,Add EIP: Deterministic AA wallet,EIPs
8584,Update EIP-5450: Fix indentation and numbering,EIPs
8583,Add EIP: Deterministic AA wallet,EIPs
8581,Update EIP-7685: two typos in eip-7685.md,EIPs
8580,Update Template: Update eip-template.md,EIPs
8579,Update EIP-6493: Switch to vector based fees (EIP-7706 w/o calldata fee),EIPs
8578,Add EIP: Read BLOCKHASH from storage and update cost,EIPs
8577,Update EIP-2935: update for Prague devnet1,EIPs
8576,Update EIP-6800: pack basic data in a single sub-index vector entry,EIPs
8575,Add EIP: ETH transfers emit a log,EIPs
8574,Update EIP-7623: Reduce floor price,EIPs
8573,"Update EIP-2935: update gas cost & implementation, and specify verkle_fork requirements",EIPs
8572,Add EIP: Deterministic AA wallet,EIPs
8571,Update EIP-7623: Fix gas cost typo,EIPs
8570,Update EIP-7623: Fix typo in gas cost 16  to 12,EIPs
8569,Website: add status anchors,EIPs
8568,Bump rexml from 3.2.5 to 3.2.8,EIPs
8567,"Update EIP-7688: Adopt `Profile`, and match EIP-7549 `Atetstation` order",EIPs
8566,Update EIP-6404: `SignedTransaction` --> `Transaction` rename,EIPs
8565,"Update EIP-6493: Use `Profile[B]`, drop `Signed` prefix / `type` in SSZ",EIPs
8564,Update EIP-2935: Adjust gas-costs for 2935,EIPs
8563,Add EIP: Incentivize Access List Provisioning,EIPs
8562,"Update EIP-7495: simplify design, renaming, formatting",EIPs
8561,Update EIP-7702: refine based on discussions,EIPs
8560,Update EIP-2935: typo in eip-2935,EIPs
8559,Update EIP-7069: clarify EOF vs 7069 interactions,EIPs
8558,Update EIP-7495: Rename `Variant` -> `MerkleizeAs` and improve rationale,EIPs
8557,"Update EIP-7543: Add ""arbitrary precision"" to title",EIPs
8556,TESTING,EIPs
8555,"add ""arbitrary precision"" to title",EIPs
8553,Update EIP-7688: Include EIP-7549 attestation data structure changes,EIPs
8552,Add EIP: Separate gas type for calldata,EIPs
8551,Update EIP-6206: fix discrepancy in stack height check JUMPF,EIPs
