eip,unified_compound,unified_pos,unified_neg,unified_neu,total_comment_count,category
1153,0.17678497053583825,0.05439999093333484,0.04244999292500118,0.9031998494666917,60.0,Core
1155,0.545332272745254,0.15883821193555706,0.01108823366349505,0.8300145838213847,68.0,ERC
1337,0.5055497191390448,0.13149992694448503,0.0241666532407482,0.8441661976854458,18.0,ERC
1418,0.0,0.0,0.0,0.9999950000249999,2.0,Core
1559,0.29711791171098934,0.1202726179339837,0.03672723933887333,0.8429992336370603,11.0,Core
165,0.9878967070109766,0.12499958333472222,0.02099993000023333,0.8539971533428221,3.0,ERC
1679,0.07050496474751765,0.06804996597501702,0.061549969225015384,0.8703495648252176,20.0,Meta
1872,0.3844320518931603,0.10466631777894074,0.01299995666681111,0.8819970600097999,3.0,Meta
1900,0.31167992208001943,0.08044997988750502,0.06144998463750384,0.8580997854750535,40.0,ERC
1930,0.9948900510994889,0.0939990600093999,0.036999630003699956,0.8689913100868991,1.0,Core
20,0.48075241093152826,0.1155557870409308,0.04060210440837675,0.8396484033758231,475.0,ERC
2014,0.36481605863990224,0.09149984750025418,0.025666623888960186,0.8828318619468969,6.0,Core
2025,0.31086899163923726,0.12192298313616681,0.06569225715980219,0.8122301444383504,13.0,Core
2026,0.14009953300155667,0.05666647777840741,0.026333245555848147,0.9169969433435221,3.0,Core
2027,0.0,0.0,0.0,0.9999900000999989,1.0,Core
2029,0.6461311795627348,0.21933260222465922,0.0,0.7806640644531185,3.0,Core
2031,0.4587954120458795,0.11499885001149988,0.0,0.884991150088499,1.0,Core
2035,0.09019954900225499,0.1719991400043,0.11149944250278748,0.7164964175179123,2.0,Core
2045,0.45055977472011266,0.09214995392502304,0.044799977600011205,0.8631495684252157,20.0,Core
2046,0.1023998537144947,0.05171421183684023,0.02542853510209271,0.9228558244916794,7.0,Core
2069,0.5548578709517743,0.11574990354174705,0.02299998083334931,0.8611659490283758,12.0,Informational
2070,0.3410709413272267,0.07857131632669097,0.025857105918420116,0.8957130061242771,7.0,Meta
223,-0.09779229828920209,0.1016153748446755,0.04476922646449746,0.8535383794674635,104.0,ERC
2242,0.23629146975710852,0.09841658465284613,0.0589999508333743,0.8424992979172518,12.0,Core
2294,0.29657485171257414,0.10709994645002677,0.044899977550011225,0.8478995760502119,20.0,Informational
2315,0.3609449097637725,0.11964997008750748,0.04954998761250309,0.7306998173250456,40.0,Core
233,0.3374330521391232,0.06216661486115428,0.019916650069458277,0.9179992350006375,12.0,Meta
2333,0.3181993636012728,0.005999988000024,0.0,0.993998012003976,5.0,ERC
2384,-0.05300552610804105,0.08933328370373128,0.11249993750003472,0.7980551121916043,18.0,Core
2387,-0.039499956111159855,0.0698888112346542,0.0979998911112321,0.8324435195072006,9.0,Meta
2458,0.33099889667034443,0.03299989000036667,0.0026666577778074073,0.9646634511218296,3.0,Informational
2470,0.5226698693325326,0.07329998167500458,0.02994999251250187,0.8967497758125559,40.0,ERC
2481,0.07719922800771992,0.24499755002449974,0.0,0.7549924500754992,1.0,Networking
2488,0.3850653831153896,0.06699977666741111,0.015999946666844445,0.9166636111212962,3.0,Core
2537,0.1720699856608345,0.09939999171666736,0.030549997454166877,0.8699999275000061,120.0,Core
2539,0.0,0.0,0.0,0.9999900000999989,1.0,Core
2565,0.44901977549011224,0.09389995305002348,0.015299992350003825,0.8907995546002226,20.0,Core
2612,0.5559998411429025,0.2554284984490004,0.016857138040817704,0.7278569348980185,35.0,ERC
2681,0.24897993775501556,0.0928499767875058,0.04999998750000312,0.8070997982250504,40.0,Core
2718,0.33851995768500526,0.08249998968750129,0.06499999187500101,0.8524998934375133,80.0,Core
2770,0.4845987885030288,0.04949987625030938,0.022499943750140625,0.9279976800058,4.0,ERC
2780,0.1786141581327442,0.11514277489801793,0.054999960714313775,0.8299994071432806,14.0,Core
2929,0.4425084792547178,0.08180850483627625,0.02576595561943577,0.8923403622453643,141.0,Core
2930,0.2286649771335023,0.09594999040500096,0.031199996880000313,0.8727999127200087,100.0,Core
2935,0.037139996286000364,0.08394999160500083,0.07369999263000074,0.8422999157700084,100.0,Core
2976,0.5993940060599394,0.10499895001049989,0.031999680003199964,0.8629913700862991,1.0,Networking
2982,0.428621122413484,0.08135708474493947,0.04314282632655262,0.8754993746433039,14.0,Informational
3009,0.9006984988358354,0.24299959500067506,0.005999990000016667,0.7509987483354196,6.0,ERC
3074,0.242099986842392,0.09807608162629991,0.033956519893667395,0.8679021267444496,184.0,Core
3085,0.24122705342995146,0.0749999318182438,0.019727254793404737,0.9052719042982689,11.0,Interface
3156,0.31361496863850313,0.10139998986000101,0.03764999623500037,0.8608499139150085,100.0,ERC
3198,-0.04266659555567408,0.04133326444455926,0.049999916666805554,0.9083318194469677,6.0,Core
3234,0.0,0.0,0.0,0.9999950000249999,2.0,ERC
3374,0.15969973383377697,0.13799977000038333,0.11199981333364446,0.7504987491687515,6.0,Core
3525,0.595964680117733,0.16133279555734814,0.0013333288889037036,0.8369972100092999,3.0,ERC
3534,-0.3817980910095449,0.0,0.24499877500612496,0.7549962250188749,2.0,Core
3554,-0.32135372255626055,0.11699995500001731,0.17330762565091323,0.7096920347338329,26.0,Core
3643,0.7129905804380886,0.11226249298359418,0.021431248660546957,0.8663624458523471,160.0,ERC
3668,0.38089904775238065,0.09699975750060626,0.08199979500051251,0.8219979450051376,4.0,ERC
3670,0.30900764476805465,0.0984615233136118,0.027846149562130836,0.8736921732781271,65.0,Core
3675,-0.12671242080473702,0.07824995109378056,0.08949994406253496,0.8322494798440752,16.0,Core
3690,0.1888776728457373,0.08366662018521101,0.05922218932100594,0.8569995238891535,18.0,Core
3709,0.19651992139203142,0.05479997808000877,0.042399983040006785,0.9027996388801445,25.0,Interface
3756,-0.18357138486395597,0.07549998202381379,0.09028569278912074,0.8342855156463057,42.0,Core
3779,0.2274699431325142,0.08849997787500552,0.05174998706250323,0.8597497850625537,40.0,Core
3788,0.38828997226500195,0.10214999270357195,0.038599997242857335,0.8593499386178615,140.0,Core
3855,0.4859649392543826,0.11149998606250174,0.03294999588125051,0.8554998930625133,80.0,Core
3860,0.008858820923876198,0.055588218944641485,0.049058809100350265,0.8955291483737798,34.0,Core
4200,0.3356199440633426,0.09594998400833599,0.059399990100001646,0.8445998592333568,60.0,Core
4337,0.4349969986941419,0.11975372687486095,0.03420149126113838,0.8459701176876824,268.0,ERC
4341,0.8356979107552232,0.13199967000082502,0.0,0.8679978300054251,4.0,ERC
4345,-0.27463732835166976,0.06312496054689966,0.1323749172656767,0.8043744972659391,16.0,Core
4396,-0.6363984090039775,0.037999905000237505,0.14249964375089066,0.8194979512551219,4.0,Core
4399,-0.01246999844125019,0.09784998776875153,0.10159998730000158,0.8005998999250125,80.0,Core
4400,0.6030846984576508,0.10649994675002662,0.013999993000003501,0.8794995602502199,20.0,ERC
4444,0.20005989997005003,0.07224996387501807,0.06769996615001693,0.8600995699502151,20.0,Networking
4573,0.2905164245696462,0.07516660402782999,0.01899998416667986,0.9058325784728514,12.0,Core
4626,0.6996999500214321,0.11434999183214344,0.02049999853571439,0.8650999382071473,140.0,ERC
4747,-0.23474980437516305,0.04049996625002813,0.08724992729172726,0.8724992729172727,12.0,Core
4750,0.45540992409834596,0.12154997974167003,0.037949993675001056,0.84034985994169,60.0,Core
4758,0.23326497084187864,0.06304999211875098,0.02159999730000034,0.9152998855875143,80.0,Core
4760,0.3124498437750782,0.07849996075001962,0.05774997112501444,0.863999568000216,20.0,Core
4762,-0.24602487698756148,0.008749995625002189,0.08324995837502082,0.907999546000227,20.0,Core
4788,0.30898496137687975,0.12489998438750195,0.05629999296250087,0.8188498976437627,80.0,Core
4803,0.12004116234809852,0.06399999247058913,0.03794117200692094,0.8979998943529536,85.0,Core
4804,0.07719987133354779,0.058999901666830556,0.05099991500014167,0.8909985150024751,6.0,ERC
4824,0.5009399721700015,0.09064999496388917,0.02629999853888897,0.8830999509388916,180.0,ERC
